Timestamp,Depth,Score,Time,Nodes,NPS,TT_Cuts,USE_TT,USE_MOVE_ORDERING,USE_KILLER_MOVES,USE_QUIESCENCE,DEBUG_STATS
15:39:19,3,-6,0.275,1895,6886,0,True,True,True,True,True
15:39:21,3,-74,0.795,4829,6073,0,True,True,True,True,True
15:39:23,2,-244,0.247,1547,6265,0,True,True,True,True,True
15:39:25,2,-299,0.213,1710,8016,0,True,True,True,True,True
15:39:27,2,-244,0.236,1433,6074,0,True,True,True,True,True
15:39:29,2,297,0.270,1871,6939,0,True,True,True,True,True
15:39:31,2,616,0.215,1288,5977,0,True,True,True,True,True
15:39:33,2,617,0.200,1459,7302,0,True,True,True,True,True
15:39:35,2,838,0.427,2766,6478,0,True,True,True,True,True
15:39:37,2,969,0.220,1575,7160,0,True,True,True,True,True
15:39:39,2,969,0.157,1374,8728,0,True,True,True,True,True
15:39:41,2,1229,0.232,2085,8978,0,True,True,True,True,True
15:39:43,2,1819,0.369,2491,6759,0,True,True,True,True,True
15:39:45,2,2235,0.353,2570,7289,0,True,True,True,True,True
15:39:47,2,2298,0.311,2049,6594,0,True,True,True,True,True
15:39:49,2,2503,0.453,3120,6889,0,True,True,True,True,True
15:39:51,2,2592,0.765,5080,6637,0,True,True,True,True,True
15:39:53,2,2638,0.439,3366,7664,0,True,True,True,True,True
15:39:55,2,3186,0.486,2996,6168,0,True,True,True,True,True
15:39:58,2,3193,0.403,2297,5701,0,True,True,True,True,True
15:40:00,2,3195,0.464,2952,6355,0,True,True,True,True,True
15:40:02,2,3327,0.494,2990,6048,0,True,True,True,True,True
15:40:04,2,3637,0.684,4505,6582,0,True,True,True,True,True
15:40:06,2,3898,0.506,3186,6302,0,True,True,True,True,True
15:40:08,2,4096,0.396,2655,6708,0,True,True,True,True,True
15:40:10,3,4426,0.703,6224,8852,0,True,True,True,True,True
15:40:12,3,4666,0.544,5314,9776,0,True,True,True,True,True
15:40:14,2,4676,0.131,963,7342,0,True,True,True,True,True
15:40:16,2,4675,0.172,1301,7576,0,True,True,True,True,True
15:40:18,2,4676,0.182,1274,6984,0,True,True,True,True,True
15:40:20,3,inf,0.715,7639,10677,0,True,True,True,True,True
15:40:22,3,inf,0.476,4258,8950,0,True,True,True,True,True
15:42:20,3,-214,0.207,1167,5629,0,True,True,True,True,True
15:42:23,3,-29,0.441,2440,5531,0,True,True,True,True,True
15:42:25,2,-284,0.246,1301,5290,0,True,True,True,True,True
15:42:27,2,4,0.343,2121,6191,0,True,True,True,True,True
15:42:29,2,159,0.425,2355,5542,0,True,True,True,True,True
15:42:31,2,114,0.218,1132,5190,0,True,True,True,True,True
15:42:33,2,174,0.317,2459,7763,0,True,True,True,True,True
15:42:35,2,214,0.385,2590,6723,0,True,True,True,True,True
15:42:37,2,593,0.417,2920,6999,0,True,True,True,True,True
15:42:39,2,593,0.839,5381,6410,0,True,True,True,True,True
15:42:41,2,425,0.250,1737,6950,0,True,True,True,True,True
15:42:43,2,418,0.186,1535,8252,0,True,True,True,True,True
15:42:45,2,178,0.186,1673,8998,0,True,True,True,True,True
15:42:47,2,245,0.198,1612,8152,0,True,True,True,True,True
15:42:49,2,706,0.401,2796,6979,0,True,True,True,True,True
15:42:51,2,386,0.374,2552,6827,0,True,True,True,True,True
15:42:53,2,391,0.233,1879,8062,0,True,True,True,True,True
15:42:55,2,393,0.374,2165,5781,0,True,True,True,True,True
15:42:57,2,396,0.132,1068,8071,0,True,True,True,True,True
15:42:59,2,410,0.123,1060,8639,0,True,True,True,True,True
15:43:01,2,294,0.360,2088,5797,0,True,True,True,True,True
15:43:03,2,225,0.343,2292,6689,0,True,True,True,True,True
15:43:05,2,477,0.376,2535,6745,0,True,True,True,True,True
15:43:07,3,inf,0.697,4816,6913,0,True,True,True,True,True
15:47:30,3,-214,0.218,1221,5606,0,True,True,True,False,True
15:47:33,3,-94,0.280,1677,5991,0,True,True,True,False,True
15:47:35,3,-24,0.337,1741,5172,0,True,True,True,False,True
15:47:37,4,-169,0.813,4301,5288,4,True,True,True,False,True
15:47:39,3,126,0.556,3262,5865,1,True,True,True,False,True
15:47:41,3,181,0.700,3894,5558,1,True,True,True,False,True
15:47:43,3,241,0.651,3976,6108,1,True,True,True,False,True
15:47:45,3,248,0.616,3625,5881,1,True,True,True,False,True
15:47:47,3,498,0.742,4306,5800,0,True,True,True,False,True
15:47:49,4,453,0.808,4241,5250,5,True,True,True,False,True
15:47:51,3,743,0.700,4476,6392,0,True,True,True,False,True
15:47:53,3,998,0.775,4548,5871,0,True,True,True,False,True
15:47:55,3,1038,0.729,4158,5705,0,True,True,True,False,True
15:47:57,3,1870,0.892,5230,5865,0,True,True,True,False,True
15:47:59,3,2069,0.622,3922,6305,0,True,True,True,False,True
15:48:01,3,2478,0.746,4650,6237,0,True,True,True,False,True
15:48:03,3,2926,0.661,4205,6365,0,True,True,True,False,True
15:48:05,3,3225,0.610,4351,7133,0,True,True,True,False,True
15:48:07,3,3564,0.476,3404,7158,0,True,True,True,False,True
15:48:09,3,3840,0.881,5756,6532,0,True,True,True,False,True
15:48:11,3,4076,0.725,5386,7429,0,True,True,True,False,True
15:48:13,3,4188,0.852,6259,7345,0,True,True,True,False,True
15:48:15,3,4409,0.798,5478,6862,0,True,True,True,False,True
15:48:17,3,4446,0.399,2888,7244,0,True,True,True,False,True
15:48:19,3,4446,0.739,5449,7374,0,True,True,True,False,True
15:48:21,3,4450,0.842,6313,7501,0,True,True,True,False,True
15:48:23,3,inf,0.472,3021,6394,0,True,True,True,False,True
15:48:34,3,-214,0.218,1221,5591,0,True,True,True,False,True
15:48:36,3,-94,0.309,1677,5427,0,True,True,True,False,True
15:48:38,4,-84,0.574,3159,5503,5,True,True,True,False,True
15:48:40,3,236,0.507,2831,5587,0,True,True,True,False,True
15:48:42,3,285,0.517,3016,5835,0,True,True,True,False,True
15:48:44,3,300,0.528,3203,6071,0,True,True,True,False,True
15:48:46,3,276,0.494,2685,5436,0,True,True,True,False,True
15:48:49,3,305,0.783,4630,5911,0,True,True,True,False,True
15:48:51,3,291,0.651,4006,6152,0,True,True,True,False,True
15:48:53,3,561,0.639,3705,5794,0,True,True,True,False,True
15:48:55,2,75,0.228,1207,5288,0,True,True,True,False,True
15:48:57,3,503,0.581,3468,5973,0,True,True,True,False,True
15:48:59,4,inf,0.318,1785,5616,4,True,True,True,False,True
15:50:33,3,-6,0.262,1895,7246,0,True,True,False,True,True
15:50:35,3,-74,0.711,4841,6810,0,True,True,False,True,True
15:50:37,2,-244,0.195,1547,7916,0,True,True,False,True,True
15:50:39,2,-299,0.221,1710,7735,0,True,True,False,True,True
15:50:41,2,-244,0.281,1433,5103,0,True,True,False,True,True
15:50:43,2,297,0.295,1871,6347,0,True,True,False,True,True
15:50:45,3,301,0.859,5959,6934,0,True,True,False,True,True
15:50:47,3,344,0.217,1243,5725,0,True,True,False,True,True
15:50:49,3,359,0.864,5996,6942,0,True,True,False,True,True
15:50:51,2,446,0.220,1400,6377,0,True,True,False,True,True
15:50:53,2,771,0.204,1528,7502,0,True,True,False,True,True
15:50:55,2,825,0.123,1096,8942,0,True,True,False,True,True
15:50:57,2,987,0.234,1283,5478,0,True,True,False,True,True
15:50:59,2,1109,0.243,1914,7870,0,True,True,False,True,True
15:51:01,2,1141,0.322,2079,6460,0,True,True,False,True,True
15:51:03,2,1458,0.216,1718,7943,0,True,True,False,True,True
15:51:05,2,1485,0.173,1374,7958,0,True,True,False,True,True
15:51:07,2,1501,0.228,1340,5869,0,True,True,False,True,True
